p_val;avg_log2FC;pct.1;pct.2;p_val_adj;cluster;gene
2,37E-05;0.270006633135084;0.343;0.181;6,09E-01;4;KLHL18
2,51E-05;0.324270978913342;0.648;0.465;6,44E-01;4;ATAD2B
2,97E-05;0.293143736589709;0.367;0.203;7,63E-01;4;RELL1
4,06E-05;0.282433965946456;0.398;0.225;1,04E-01;4;DAPP1
5,16E-05;0.314778950122463;0.513;0.326;1,33E+00;4;UBE2E1
5,20E-05;0.286591768959939;0.54;0.349;1,34E+00;4;SHOC2
6,31E-05;0.363521086948163;0.504;0.325;1,62E+00;4;RPS6KC1
6,55E-05;0.259872195419888;0.362;0.199;1,68E+00;4;CBWD2
7,52E-07;0.316731708635055;0.39;0.222;1,93E+00;4;BID
8,22E-05;0.251308936053452;0.331;0.175;2,11E+00;4;NACC2
8,23E-05;0.273135746009052;0.489;0.301;2,12E-01;4;IL6R
1,08E-04;0.267365459828771;0.394;0.222;2,78E+00;4;RASSF2
1,19E-04;0.274089032732338;0.449;0.268;3,05E+00;4;CMTM6
1,32E-04;0.381774485190787;0.608;0.427;3,40E+00;4;SUMF1
1,41E-04;0.342315492570194;0.434;0.258;3,62E-01;4;CEBPD
1,54E-04;0.346936143290911;0.856;0.709;3,97E+00;4;TBC1D22A
1,65E-04;0.35820996260637;0.676;0.514;4,24E+00;4;UBR2
1,98E-04;0.340655330563826;0.858;0.696;5,09E+00;4;TAOK3
2,01E-04;0.360434536660583;0.839;0.721;5,18E+00;4;ELF1
2,27E-04;0.349366459764306;0.57;0.383;5,83E+00;4;TRAF3
2,27E-04;0.295215921124992;0.542;0.357;5,85E+00;4;DECR1
2,92E-04;0.286803905263149;0.419;0.248;7,50E+00;4;SPPL2A
3,26E-05;0.272377453809148;0.517;0.332;8,39E-01;4;USP4
3,29E-04;0.281007149067834;0.403;0.236;8,47E+00;4;TM9SF4
3,38E-05;0.322702788701986;0.638;0.454;8,69E-01;4;HDAC4
3,52E-04;0.287734924480602;0.466;0.284;9,06E+00;4;LPGAT1
3,52E-04;0.272716089999234;0.502;0.316;9,06E+00;4;MTMR3
3,78E-06;0.329189191402438;0.46;0.292;9,73E+00;4;KIF13B
3,98E-04;0.323586903657341;0.727;0.55;1,02E+01;4;CREBBP
4,39E-04;0.285939160572058;0.411;0.242;1,13E+01;4;CROCC
5,12E-04;0.291152035029116;0.4;0.234;1,32E+01;4;BNIP3L
5,31E-04;0.26668221992786;0.254;0.121;1,36E+01;4;CLIC4
5,82E-04;0.34815294847285;0.553;0.372;1,50E+01;4;RREB1
6,72E-05;0.268280038029489;0.278;0.137;1,73E+01;4;MAFB
7,71E-04;0.29417465036596;0.409;0.245;1,98E+01;4;SH3GLB1
8,22E-04;0.333963463738424;0.475;0.296;2,11E+01;4;FAM168A
1,15E-03;0.463242537598805;0.733;0.603;2,95E+01;4;OSBPL8
1,25E-03;0.257603913309219;0.388;0.224;3,21E+01;4;SEC14L1
1,33E-03;0.274303350917938;0.354;0.199;3,42E+01;4;RAB12
1,72E-03;0.301597677379382;0.608;0.419;4,42E+01;4;PPP3R1
2,17E-05;0.253801097078407;0.258;0.128;5,58E+01;4;RHOB
2,62E-03;0.29007370780434;0.432;0.264;6,75E+01;4;SLC25A37
2,87E-03;0.377594271064625;0.746;0.608;7,38E+01;4;SP110
3,12E-03;0.319482295900132;0.752;0.578;8,03E+01;4;CELF1
3,35E-03;0.344283232752858;0.398;0.243;8,62E+01;4;ITPRIP
3,76E-03;0.269093903801898;0.419;0.253;9,68E+01;4;ITPK1
3,77E-04;0.280904476148819;0.564;0.372;9,69E+01;4;ADA2
4,33E-03;0.299181625414026;0.464;0.291;1,11E+02;4;ANO6
4,34E-03;0.311741406043048;0.564;0.394;1,12E+02;4;BTAF1
5,73E-04;0.330246607594734;0.612;0.447;1,47E+02;4;EIF5
5,85E-03;0.304065750973101;0.523;0.349;1,50E+02;4;CBL
